comparison,condition_id,direction,left_episode_index,right_episode_index,mae_0_255,nonidentical_channel_fraction,p99_abs_difference,max_abs_difference
within_condition_direction,cosmos_short_static32,left,3,9,2.9658015046296295,0.7167409336419753,20.0,93
within_condition_direction,cosmos_short_static32,left,4,5,3.426784336419753,0.720318287037037,24.0,103
within_condition_direction,cosmos_short_static32,left,4,6,3.205275848765432,0.7138011188271605,24.0,109
within_condition_direction,cosmos_short_static32,left,4,7,3.1642592592592593,0.706977237654321,23.0,119
within_condition_direction,cosmos_short_static32,left,4,8,3.5673398919753088,0.7147280092592593,23.0,134
within_condition_direction,cosmos_short_static32,left,4,9,2.9972984182098767,0.716412037037037,20.0,82
within_condition_direction,cosmos_short_static32,left,5,6,3.4112172067901234,0.7228597608024692,24.0,110
within_condition_direction,cosmos_short_static32,left,5,7,3.496635802469136,0.7168547453703704,24.0,84
within_condition_direction,cosmos_short_static32,left,5,8,3.310416666666667,0.7199691358024691,22.0,99
within_condition_direction,cosmos_short_static32,left,5,9,3.3617891589506175,0.7279976851851852,21.0,85
within_condition_direction,cosmos_short_static32,left,6,7,3.323443287037037,0.7220100308641976,22.0,110
within_condition_direction,cosmos_short_static32,left,6,8,3.5620871913580245,0.7176032021604938,23.0,118
within_condition_direction,cosmos_short_static32,left,6,9,3.054952739197531,0.721160300925926,21.0,79
within_condition_direction,cosmos_short_static32,left,7,8,3.8241261574074072,0.7216753472222223,24.0,103
within_condition_direction,cosmos_short_static32,left,7,9,3.1747328317901236,0.7199749228395061,22.0,98
within_condition_direction,cosmos_short_static32,left,8,9,3.5584095293209876,0.7246749614197531,22.0,93
within_condition_direction,cosmos_short_static32,right,0,1,4.98669849537037,0.7505883487654321,42.0,123
within_condition_direction,cosmos_short_static32,right,0,2,4.623691165123457,0.7434471450617284,44.0,103
within_condition_direction,cosmos_short_static32,right,0,3,4.4453578317901234,0.7371354166666667,48.0,91
within_condition_direction,cosmos_short_static32,right,0,4,4.772340856481481,0.7480420524691358,40.0,94
within_condition_direction,cosmos_short_static32,right,0,5,4.98421875,0.7509066358024692,44.0,89
within_condition_direction,cosmos_short_static32,right,0,6,4.663202160493827,0.7450761959876543,44.0,95
within_condition_direction,cosmos_short_static32,right,0,7,5.071174768518518,0.7558805941358024,41.0,116
within_condition_direction,cosmos_short_static32,right,0,8,4.971352237654321,0.7420698302469135,47.0,90
within_condition_direction,cosmos_short_static32,right,0,9,5.097199074074074,0.7484693287037038,43.0,116
within_condition_direction,cosmos_short_static32,right,1,2,3.2109259259259257,0.7102305169753086,23.0,125
within_condition_direction,cosmos_short_static32,right,1,3,3.6117708333333334,0.7201822916666667,24.0,98
within_condition_direction,cosmos_short_static32,right,1,4,3.0748341049382715,0.7165972222222222,19.0,94
within_condition_direction,cosmos_short_static32,right,1,5,3.1019376929012346,0.7118682484567901,22.0,86
within_condition_direction,cosmos_short_static32,right,1,6,3.3060677083333334,0.7196595293209876,21.0,82
within_condition_direction,cosmos_short_static32,right,1,7,3.2842409336419753,0.7227507716049383,20.0,99
within_condition_direction,cosmos_short_static32,right,1,8,3.280274884259259,0.7197164351851851,23.0,85
within_condition_direction,cosmos_short_static32,right,1,9,3.022367862654321,0.7158043981481481,20.0,80
within_condition_direction,cosmos_short_static32,right,2,3,3.375949074074074,0.7171199845679013,24.0,111
within_condition_direction,cosmos_short_static32,right,2,4,3.018695987654321,0.7062644675925925,22.0,93
within_condition_direction,cosmos_short_static32,right,2,5,3.2154793595679014,0.7112885802469135,22.0,99
within_condition_direction,cosmos_short_static32,right,2,6,3.0980140817901236,0.7065229552469136,23.0,96
within_condition_direction,cosmos_short_static32,right,2,7,3.3983150077160493,0.7203231095679012,22.0,119
within_condition_direction,cosmos_short_static32,right,2,8,3.3381529706790123,0.7205208333333334,24.0,102
within_condition_direction,cosmos_short_static32,right,2,9,3.3049373070987653,0.7139226466049383,21.0,118
within_condition_direction,cosmos_short_static32,right,3,4,3.266726466049383,0.7114158950617284,23.0,89
within_condition_direction,cosmos_short_static32,right,3,5,3.4904774305555555,0.7220862268518519,21.0,83
within_condition_direction,cosmos_short_static32,right,3,6,3.0109249614197533,0.7135783179012346,20.0,84
within_condition_direction,cosmos_short_static32,right,3,7,3.5709481095679014,0.7297540509259259,21.0,81
within_condition_direction,cosmos_short_static32,right,3,8,3.389445408950617,0.7114332561728395,23.0,82
within_condition_direction,cosmos_short_static32,right,3,9,3.5460117669753086,0.720733024691358,22.0,85
within_condition_direction,cosmos_short_static32,right,4,5,3.2425163966049384,0.7161130401234568,21.0,85
