comparison,label,left_seed,right_seed,cube_centroid_distance_m,bowl_centroid_distance_m,max_object_centroid_distance_m
within_condition_direction,cosmos_canonical_static32:right,6104,6106,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6104,6107,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6104,6108,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6104,6109,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6105,6106,0.0,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6105,6107,0.0,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6105,6108,0.0,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6105,6109,0.0,0.0001220703125,0.0001220703125
within_condition_direction,cosmos_canonical_static32:right,6106,6107,0.0,0.0,0.0
within_condition_direction,cosmos_canonical_static32:right,6106,6108,0.0,0.0,0.0
within_condition_direction,cosmos_canonical_static32:right,6106,6109,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_canonical_static32:right,6107,6108,0.0,0.0,0.0
within_condition_direction,cosmos_canonical_static32:right,6107,6109,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_canonical_static32:right,6108,6109,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_contrastive_static32:left,7200,7201,0.003173828125,0.000244140625,0.003173828125
within_condition_direction,cosmos_contrastive_static32:left,7200,7202,0.003497692573704688,0.00044013077093066273,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:left,7200,7203,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:left,7200,7204,0.0034955617830264535,0.0010918300671385692,0.0034955617830264535
within_condition_direction,cosmos_contrastive_static32:left,7200,7205,0.0030809153965146393,0.00034526698300124393,0.0030809153965146393
within_condition_direction,cosmos_contrastive_static32:left,7200,7206,0.003497692573704688,0.000244140625,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:left,7200,7207,0.0033917099583617685,0.0012267914576563586,0.0033917099583617685
within_condition_direction,cosmos_contrastive_static32:left,7200,7208,0.003497692573704688,0.0008188725503539269,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:left,7200,7209,0.0012976252212810852,0.0008188725503539269,0.0012976252212810852
within_condition_direction,cosmos_contrastive_static32:left,7201,7202,0.0005033087921896558,0.0006573687508709111,0.0006573687508709111
within_condition_direction,cosmos_contrastive_static32:left,7201,7203,0.0005033087921896558,0.000244140625,0.0005033087921896558
within_condition_direction,cosmos_contrastive_static32:left,7201,7204,0.00034526698300124393,0.001220703125,0.001220703125
within_condition_direction,cosmos_contrastive_static32:left,7201,7205,0.0006103515625,0.000244140625,0.0006103515625
within_condition_direction,cosmos_contrastive_static32:left,7201,7206,0.0005033087921896558,0.0,0.0005033087921896558
within_condition_direction,cosmos_contrastive_static32:left,7201,7207,0.00048828125,0.001274451478138495,0.001274451478138495
within_condition_direction,cosmos_contrastive_static32:left,7201,7208,0.0005033087921896558,0.0007425247229367944,0.0007425247229367944
within_condition_direction,cosmos_contrastive_static32:left,7201,7209,0.002089507173904259,0.0007425247229367944,0.002089507173904259
within_condition_direction,cosmos_contrastive_static32:left,7202,7203,0.0,0.00044013077093066273,0.00044013077093066273
within_condition_direction,cosmos_contrastive_static32:left,7202,7204,0.0002729575167846423,0.0007425247229367944,0.0007425247229367944
within_condition_direction,cosmos_contrastive_static32:left,7202,7205,0.00048828125,0.0006103515625,0.0006103515625
within_condition_direction,cosmos_contrastive_static32:left,7202,7206,0.0,0.0006573687508709111,0.0006573687508709111
within_condition_direction,cosmos_contrastive_static32:left,7202,7207,0.0001220703125,0.0010066175843793117,0.0010066175843793117
within_condition_direction,cosmos_contrastive_static32:left,7202,7208,0.0,0.0008802615418613255,0.0008802615418613255
within_condition_direction,cosmos_contrastive_static32:left,7202,7209,0.0023161213331311372,0.0008802615418613255,0.0023161213331311372
within_condition_direction,cosmos_contrastive_static32:left,7203,7204,0.0002729575167846423,0.0010918300671385692,0.0010918300671385692
within_condition_direction,cosmos_contrastive_static32:left,7203,7205,0.00048828125,0.00034526698300124393,0.00048828125
