cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__confirmation__C05__N3__original__right,confirmation,C05,N3,original,right,0,2026091205,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__N3__reflected__left,confirmation,C05,N3,reflected,left,0,2026091205,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__N3__reflected__right,confirmation,C05,N3,reflected,right,0,2026091205,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D1__original__left,confirmation,C05,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D1__original__right,confirmation,C05,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D1__reflected__left,confirmation,C05,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D1__reflected__right,confirmation,C05,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__N3__original__left,confirmation,C06,N3,original,left,0,2026091206,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__N3__original__right,confirmation,C06,N3,original,right,0,2026091206,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__N3__reflected__left,confirmation,C06,N3,reflected,left,0,2026091206,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__N3__reflected__right,confirmation,C06,N3,reflected,right,0,2026091206,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D1__original__left,confirmation,C06,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D1__original__right,confirmation,C06,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D1__reflected__left,confirmation,C06,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D1__reflected__right,confirmation,C06,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__N3__original__left,confirmation,C07,N3,original,left,0,2026091207,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__N3__original__right,confirmation,C07,N3,original,right,0,2026091207,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__N3__reflected__left,confirmation,C07,N3,reflected,left,0,2026091207,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__N3__reflected__right,confirmation,C07,N3,reflected,right,0,2026091207,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D1__original__left,confirmation,C07,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D1__original__right,confirmation,C07,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D1__reflected__left,confirmation,C07,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D1__reflected__right,confirmation,C07,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__N3__original__left,confirmation,C08,N3,original,left,0,2026091208,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__N3__original__right,confirmation,C08,N3,original,right,0,2026091208,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__N3__reflected__left,confirmation,C08,N3,reflected,left,0,2026091208,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__N3__reflected__right,confirmation,C08,N3,reflected,right,0,2026091208,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D1__original__left,confirmation,C08,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D1__original__right,confirmation,C08,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D1__reflected__left,confirmation,C08,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D1__reflected__right,confirmation,C08,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__N3__original__left,confirmation,C09,N3,original,left,0,2026091209,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__N3__original__right,confirmation,C09,N3,original,right,0,2026091209,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__N3__reflected__left,confirmation,C09,N3,reflected,left,0,2026091209,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__N3__reflected__right,confirmation,C09,N3,reflected,right,0,2026091209,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D1__original__left,confirmation,C09,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D1__original__right,confirmation,C09,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D1__reflected__left,confirmation,C09,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D1__reflected__right,confirmation,C09,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__N3__original__left,confirmation,C10,N3,original,left,0,2026091210,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__N3__original__right,confirmation,C10,N3,original,right,0,2026091210,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__N3__reflected__left,confirmation,C10,N3,reflected,left,0,2026091210,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__N3__reflected__right,confirmation,C10,N3,reflected,right,0,2026091210,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D1__original__left,confirmation,C10,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D1__original__right,confirmation,C10,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D1__reflected__left,confirmation,C10,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D1__reflected__right,confirmation,C10,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__N3__original__left,confirmation,C11,N3,original,left,0,2026091211,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__N3__original__right,confirmation,C11,N3,original,right,0,2026091211,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__N3__reflected__left,confirmation,C11,N3,reflected,left,0,2026091211,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__N3__reflected__right,confirmation,C11,N3,reflected,right,0,2026091211,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D1__original__left,confirmation,C11,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D1__original__right,confirmation,C11,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D1__reflected__left,confirmation,C11,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
