cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__confirmation__C12__D2__reflected__right,confirmation,C12,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D2__original__left,confirmation,C13,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D2__original__right,confirmation,C13,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D2__reflected__left,confirmation,C13,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__D2__reflected__right,confirmation,C13,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D2__original__left,confirmation,C14,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D2__original__right,confirmation,C14,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D2__reflected__left,confirmation,C14,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C14__D2__reflected__right,confirmation,C14,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D2__original__left,confirmation,C15,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D2__original__right,confirmation,C15,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D2__reflected__left,confirmation,C15,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C15__D2__reflected__right,confirmation,C15,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D2__original__left,confirmation,C16,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D2__original__right,confirmation,C16,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D2__reflected__left,confirmation,C16,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C16__D2__reflected__right,confirmation,C16,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D2__original__left,confirmation,C17,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D2__original__right,confirmation,C17,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D2__reflected__left,confirmation,C17,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C17__D2__reflected__right,confirmation,C17,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C18__D2__original__left,confirmation,C18,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C18__D2__original__right,confirmation,C18,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C18__D2__reflected__left,confirmation,C18,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C18__D2__reflected__right,confirmation,C18,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C19__D2__original__left,confirmation,C19,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C19__D2__original__right,confirmation,C19,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C19__D2__reflected__left,confirmation,C19,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C19__D2__reflected__right,confirmation,C19,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C20__D2__original__left,confirmation,C20,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C20__D2__original__right,confirmation,C20,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C20__D2__reflected__left,confirmation,C20,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C20__D2__reflected__right,confirmation,C20,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C21__D2__original__left,confirmation,C21,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C21__D2__original__right,confirmation,C21,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C21__D2__reflected__left,confirmation,C21,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C21__D2__reflected__right,confirmation,C21,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C22__D2__original__left,confirmation,C22,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C22__D2__original__right,confirmation,C22,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C22__D2__reflected__left,confirmation,C22,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C22__D2__reflected__right,confirmation,C22,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C23__D2__original__left,confirmation,C23,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C23__D2__original__right,confirmation,C23,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C23__D2__reflected__left,confirmation,C23,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C23__D2__reflected__right,confirmation,C23,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C24__D2__original__left,confirmation,C24,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C24__D2__original__right,confirmation,C24,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C24__D2__reflected__left,confirmation,C24,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C24__D2__reflected__right,confirmation,C24,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
